customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,churn
C000001,6,40.25,312.92,Month-to-month,Electronic check,Yes
C000002,56,85.62,4882.93,Month-to-month,Electronic check,No
C000003,47,96.22,4538.86,Month-to-month,Electronic check,Yes
C000004,32,35.0,1058.62,One year,Credit card,No
C000005,31,22.47,785.2,One year,Electronic check,No
C000006,62,62.84,3845.17,Month-to-month,Electronic check,No
C000007,6,96.95,598.6,Month-to-month,Electronic check,Yes
C000008,50,84.38,4206.16,Month-to-month,Bank transfer,Yes
C000009,14,89.59,1232.73,Month-to-month,Bank transfer,Yes
C000010,6,59.09,392.76,Month-to-month,Credit card,No
C000011,38,41.96,1606.7,Month-to-month,Electronic check,No
C000012,71,72.24,5154.7,Two year,Electronic check,No
C000013,53,38.85,2018.27,Two year,Bank transfer,No
C000014,55,92.08,5055.7,Month-to-month,Electronic check,Yes
C000015,52,38.09,1942.2,One year,Electronic check,No
C000016,57,47.71,2709.52,Two year,Credit card,Yes
C000017,37,69.67,2571.85,Month-to-month,Bank transfer,Yes
C000018,9,67.64,700.98,Two year,Mailed check,No
C000019,61,79.29,4823.72,Month-to-month,Credit card,No
C000020,32,62.62,1897.56,One year,Electronic check,No
C000021,36,111.79,4094.19,Month-to-month,Electronic check,Yes
C000022,27,103.67,2821.55,Month-to-month,Electronic check,No
C000023,13,107.67,1393.16,One year,Electronic check,No
C000024,67,82.21,5486.21,One year,Mailed check,No
C000025,57,82.77,4670.54,Month-to-month,Credit card,No
C000026,47,80.14,3863.48,One year,Credit card,No
C000027,29,62.36,1811.03,Two year,Bank transfer,Yes
C000028,60,50.85,2964.11,Two year,Credit card,No
C000029,39,78.38,3073.21,One year,Mailed check,Yes
C000030,32,20.6,719.51,Month-to-month,Electronic check,No
C000031,32,18.76,608.14,Month-to-month,Electronic check,No
C000032,16,104.87,1632.84,Month-to-month,Mailed check,No
C000033,6,22.74,86.89,Two year,Electronic check,No
C000034,40,71.53,2815.33,One year,Electronic check,No
C000035,64,80.73,5242.8,Two year,Credit card,No
C000036,4,38.21,149.26,Month-to-month,Electronic check,Yes
C000037,62,109.36,6696.38,Two year,Bank transfer,No
C000038,60,37.39,2262.61,Two year,Electronic check,Yes
